date,condo_id,crab_id,sex,hemo_color,hemo_ri,status,shell_hardness,cw_post_molt,mass_post_molt,digital_ri,ca,days_from_molt,pre_post
5/30/22,CML,R-KK,M,3,6,A,3,NA,NA,NA,NA,0,NA
6/1/22,CML,R-KK,M,NA,NA,A,3,NA,NA,NA,NA,18,NA
6/4/22,CML,R-KK,M,3,7.5,A,3,NA,NA,NA,NA,14,NA
6/6/22,CML,R-KK,M,NA,NA,A,3,NA,NA,NA,NA,11,NA
6/8/22,CML,R-KK,M,NA,NA,A,3,NA,NA,NA,NA,7,pre
6/11/22,CML,R-KK,M,2,4.5,M,1,51,27.5,NA,NA,5,post
5/17/22,CML,R-KKK,M,3,6.5,A,3,NA,NA,NA,NA,0,NA
5/21/22,CML,R-KKK,M,3,7,A,3,NA,NA,NA,NA,21,NA
5/25/22,CML,R-KKK,M,NA,NA,A,3,NA,NA,NA,NA,17,NA
5/27/22,CML,R-KKK,M,3,7,A,3,NA,NA,NA,NA,15,NA
5/30/22,CML,R-KKK,M,4,7,A,3,NA,NA,NA,NA,12,NA
6/1/22,CML,R-KKK,M,NA,NA,A,3,NA,NA,NA,NA,10,NA
6/4/22,CML,R-KKK,M,3,6,A,3,NA,NA,NA,NA,7,NA
6/6/22,CML,R-KKK,M,NA,NA,A,3,NA,NA,NA,NA,5,NA
6/8/22,CML,R-KKK,M,NA,NA,A,3,NA,NA,NA,NA,3,pre
6/11/22,CML,R-KKK,M,2,4,M,1,51,31.4,NA,NA,0,post
6/8/22,CML,R-RGW,M,4,13,A,3,NA,NA,NA,NA,19,NA
6/11/22,CML,R-RGW,M,3,11.5,A,3,NA,NA,NA,NA,16,NA
6/14/22,CML,R-RGW,M,4,10,A,3,NA,NA,NA,NA,13,NA
6/15/22,CML,R-RGW,M,NA,NA,A,3,NA,NA,NA,NA,12,NA
6/17/22,CML,R-RGW,M,3,6,A,3,NA,NA,NA,NA,10,NA
6/20/22,CML,R-RGW,M,NA,NA,A,3,NA,NA,NA,NA,7,NA
6/22/22,CML,R-RGW,M,3,5,A,3,NA,NA,NA,NA,5,NA
6/24/22,CML,R-RGW,M,NA,NA,A,3,NA,NA,NA,NA,3,pre
6/27/22,CML,R-RGW,M,3,5,M,2,51,na,NA,NA,0,post
5/17/22,CML,R-RRK,M,3,6.5,A,3,NA,NA,NA,NA,15,NA
5/21/22,CML,R-RRK,M,3,9.5,A,3,NA,NA,NA,NA,11,NA
5/25/22,CML,R-RRK,M,NA,NA,A,3,NA,NA,NA,NA,7,NA
