date,time,condo_id,crab_id,outcome,sex,hemo_col,hemo_ri,status,shell_hardness,black_light_fluorescence,photo_id,fed,Post-molt CW (mm),Post-molt mass (g),digital_ri,ca,Notes/Observations
7/14/22,0:20,CML,K-BGK,Removed,F,2,5,A,3,NA,NA,N,NA,NA,NA,NA,"early pre-molt, faint halo"
7/15/22,11:30,CML,K-BGK,Removed,F,NA,NA,A,3,NA,NA,N,NA,NA,NA,NA,
7/18/22,11:05,CML,K-BGK,Removed,F,NA,NA,A,3,NA,NA,N,NA,NA,NA,NA,
7/19/22,13:00,CML,K-BGK,Removed,F,3,10.5,A,3,NA,NA,N,NA,NA,NA,NA,good halo
7/21/22,14:40,CML,K-BGK,Removed,F,NA,NA,A,3,NA,NA,N,NA,NA,NA,NA,
7/22/22,12:50,CML,K-BGK,Removed,F,3,10,A,3,NA,NA,N,NA,NA,NA,NA,
7/26/22,12:00,CML,K-BGK,Removed,F,NA,NA,A,3,NA,NA,N,NA,NA,NA,NA,
7/27/22,15:25,CML,K-BGK,Removed,F,3,9.5,A,3,NA,NA,N,NA,NA,NA,NA,
7/28/22,13:25,CML,K-BGK,Removed,F,NA,NA,A,3,NA,NA,N,NA,NA,NA,NA,
7/29/22,13:00,CML,K-BGK,Removed,F,3,9,A,3,NA,NA,N,NA,NA,NA,NA,
8/1/22,12:30,CML,K-BGK,Removed,F,3,9,A,3,NA,NA,N,NA,NA,NA,NA,
8/3/22,10:10,CML,K-BGK,Removed,F,2,9,A,3,NA,NA,N,NA,NA,NA,NA,
8/5/22,11:00,CML,K-BGK,Removed,F,NA,NA,A,3,NA,NA,N,NA,NA,NA,NA,
8/8/22,12:47,CML,K-BGK,Removed,F,1,6.5,A,3,NA,NA,N,NA,NA,NA,NA,good halo
8/10/22,17:47,CML,K-BGK,Removed,F,NA,NA,A,3,NA,NA,N,NA,NA,NA,NA,
8/12/22,14:37,CML,K-BGK,Removed,F,1,6.5,A,3,NA,NA,N,NA,NA,NA,NA,
8/15/22,16:54,CML,K-BGK,Removed,F,2,7,A,3,NA,NA,N,NA,NA,NA,NA,strong halo
8/17/22,14:56,CML,K-BGK,Removed,F,NA,NA,A,3,NA,NA,N,NA,NA,NA,NA,
7/14/22,0:20,CML,K-BRB,gravid,F,3,5.5,A,3,NA,NA,N,NA,NA,NA,NA,"early pre-molt, faint halo"
7/15/22,11:30,CML,K-BRB,gravid,F,NA,NA,A,3,NA,NA,N,NA,NA,NA,NA,
7/18/22,11:05,CML,K-BRB,gravid,F,NA,NA,A,3,NA,NA,N,NA,NA,NA,NA,
7/19/22,13:00,CML,K-BRB,gravid,F,3,7,A,3,NA,NA,N,NA,NA,NA,NA,egger
7/21/22,14:40,CML,K-BRB,gravid,F,NA,NA,A,3,NA,NA,N,NA,NA,NA,NA,
7/22/22,12:50,CML,K-BRB,gravid,F,3,7,A,3,NA,NA,N,NA,NA,NA,NA,
7/26/22,12:00,CML,K-BRB,gravid,F,NA,NA,A,3,NA,NA,N,NA,NA,NA,NA,
7/27/22,15:25,CML,K-BRB,gravid,F,2,4.5,A,3,NA,NA,N,NA,NA,NA,NA,
7/28/22,13:25,CML,K-BRB,gravid,F,NA,NA,A,3,NA,NA,N,NA,NA,NA,NA,
7/29/22,13:00,CML,K-BRB,gravid,F,3,6,A,3,NA,NA,N,NA,NA,NA,NA,
8/1/22,12:30,CML,K-BRB,gravid,F,NA,NA,A,NA,NA,NA,N,NA,NA,NA,NA,egger
7/12/22,11:45,CML,K-BRY,Dead,F,2,7,A,3,NA,NA,N,NA,NA,NA,NA,"early pre-molt, faint halo"
7/14/22,0:20,CML,K-BRY,Dead,F,NA,NA,A,3,NA,NA,N,NA,NA,NA,NA,
7/15/22,11:30,CML,K-BRY,Dead,F,3,7.5,A,3,NA,NA,N,NA,NA,NA,NA,no change
7/18/22,11:05,CML,K-BRY,Dead,F,3,7,A,3,NA,NA,N,NA,NA,NA,NA,no change
7/19/22,13:00,CML,K-BRY,Dead,F,NA,NA,A,3,NA,NA,N,NA,NA,NA,NA,
7/21/22,14:40,CML,K-BRY,Dead,F,3,7,A,3,NA,NA,N,NA,NA,NA,NA,no change
7/22/22,12:50,CML,K-BRY,Dead,F,NA,NA,A,3,NA,NA,N,NA,NA,NA,NA,
7/26/22,12:00,CML,K-BRY,Dead,F,3,6.5,A,3,NA,NA,N,NA,NA,NA,NA,
7/27/22,15:25,CML,K-BRY,Dead,F,NA,NA,A,3,NA,NA,N,NA,NA,NA,NA,
7/28/22,13:25,CML,K-BRY,Dead,F,3,6.5,A,3,NA,NA,N,NA,NA,NA,NA,
7/29/22,13:00,CML,K-BRY,Dead,F,NA,NA,A,3,NA,NA,N,NA,NA,NA,NA,
8/1/22,12:30,CML,K-BRY,Dead,F,2,6,A,3,NA,NA,N,NA,NA,NA,NA,
8/3/22,10:10,CML,K-BRY,Dead,F,3,6,A,3,NA,NA,N,NA,NA,NA,NA,
8/5/22,11:00,CML,K-BRY,Dead,F,NA,NA,A,3,NA,NA,N,NA,NA,NA,NA,
8/8/22,12:47,CML,K-BRY,Dead,F,3,6,A,3,NA,NA,N,NA,NA,NA,NA,
8/10/22,17:47,CML,K-BRY,Dead,F,NA,NA,A,3,NA,NA,N,NA,NA,NA,NA,
8/12/22,14:37,CML,K-BRY,Dead,F,3,6,A,3,NA,NA,N,NA,NA,NA,NA,
8/15/22,16:54,CML,K-BRY,Dead,F,3,6,A,3,NA,NA,N,NA,NA,NA,NA,
8/17/22,14:56,CML,K-BRY,Dead,F,NA,NA,D,NA,NA,NA,N,NA,NA,NA,NA,
7/14/22,0:20,CML,K-BY,Dead,F,3,9,A,3,NA,NA,N,NA,NA,NA,NA,Potentially good pre-molt
7/15/22,11:30,CML,K-BY,Dead,F,NA,NA,A,3,NA,NA,N,NA,NA,NA,NA,
7/18/22,11:05,CML,K-BY,Dead,F,NA,NA,A,3,NA,NA,N,NA,NA,NA,NA,
7/19/22,13:00,CML,K-BY,Dead,F,3,9,A,3,NA,NA,N,NA,NA,NA,NA,
7/21/22,14:40,CML,K-BY,Dead,F,NA,NA,A,3,NA,NA,N,NA,NA,NA,NA,
7/22/22,12:50,CML,K-BY,Dead,F,3,9,A,3,NA,NA,N,NA,NA,NA,NA,
7/26/22,12:00,CML,K-BY,Dead,F,NA,NA,A,3,NA,NA,N,NA,NA,NA,NA,
7/27/22,15:25,CML,K-BY,Dead,F,2,8,A,3,NA,NA,N,NA,NA,NA,NA,
