date,condo_id,crab_id,outcome,sex,hemo_col,hemo_ri,status,shell_hardness,cw,mass,digital_ri,ca,start_end,period
8/1/22,WL,KWRK,Removed,F,2,10,A,3,46,28.1,NA,NA,start,FALSE
8/1/22,WL,KWRW,Removed,F,1,8,A,3,42,21.3,NA,NA,start,FALSE
7/18/22,WL,KWWW,Removed,F,4,7.5,A,3,49,32.3,7.3,377,start,FALSE
7/18/22,WL,KWYW,Removed,F,2,5.5,A,3,49,29.5,5.4,366,start,FALSE
7/29/22,WL,KYBW,Removed,F,1,4.5,A,3,58,51,NA,NA,start,FALSE
8/1/22,WL,KYKR,Removed,F,5,9,A,3,50,34.3,NA,NA,start,FALSE
8/1/22,WL,KYWR,Removed,M,NA,NA,D,NA,59,55.4,NA,NA,start,FALSE
6/16/22,WL,KYWW,Removed,F,3,4.5,A,3,56,66.2,NA,NA,start,FALSE
7/18/22,WL,KYYW,Removed,M,3,6.5,A,3,51,38.5,7.4,309,start,FALSE
6/16/22,WL,KYYY,Removed,M,3,6,A,3,57,56.1,NA,NA,start,FALSE
6/10/21,WL,OBBG,Removed,M,NA,NA,A,3,48,31.1,NA,NA,start,FALSE
6/10/21,WL,OBBW,Removed,M,NA,NA,A,3,63,74.9,NA,NA,start,FALSE
6/10/21,WL,OBK,Removed,M,NA,NA,A,3,62,66.4,NA,NA,start,FALSE
6/25/21,CML,OB,Removed,M,NA,9,A,3,58,50.6,NA,NA,start,FALSE
6/10/21,WL,OBKB,Removed,M,NA,NA,A,3,59,58.1,NA,NA,start,FALSE
6/10/21,WL,OBKG,Removed,M,NA,NA,A,3,60,57.7,NA,NA,start,FALSE
6/25/21,CML,OBBY,Removed,M,NA,10,A,3,58,57.9,NA,NA,start,FALSE
6/25/21,CML,OBGG,Removed,M,NA,11,A,3,53,48.3,NA,NA,start,FALSE
6/3/21,WL,OBRR,Removed,M,NA,NA,A,3,56,47.5,NA,NA,start,FALSE
6/3/21,WL,OBWB,Removed,M,NA,NA,A,3,55,48.8,NA,NA,start,FALSE
6/3/21,WL,OBWK,Removed,M,NA,NA,A,3,56,50.3,NA,NA,start,FALSE
6/10/21,WL,OBWY,Removed,M,NA,NA,A,3,64,79,NA,NA,start,FALSE
6/3/21,WL,OBYG,Removed,M,NA,NA,A,3,55,48.5,NA,NA,start,FALSE
6/25/21,CML,OBRG,Removed,M,NA,9,A,3,45,29.3,NA,NA,start,FALSE
6/25/21,CML,OBRK,Removed,M,NA,9.5,A,3,60,63.2,NA,NA,start,FALSE
6/18/21,WL,OBYK,Removed,M,NA,NA,A,3,62,72.9,NA,NA,start,FALSE
6/25/21,CML,OBRY,Removed,M,NA,9,A,3,58,64.8,NA,NA,start,FALSE
7/22/21,WL,PB,Removed,F,NA,8,A,3,45,23.5,NA,NA,start,FALSE
6/25/21,CML,OBWG,Removed,M,NA,10,A,3,60,65,NA,NA,start,FALSE
7/22/21,WL,PBBK,Removed,F,NA,10,A,3,53,42,NA,NA,start,FALSE
7/12/21,WL,PBBY,Removed,F,NA,7.5,A,3,55,41.1,NA,NA,start,FALSE
6/25/21,CML,OBY,Removed,M,NA,8.5,A,3,64,64.8,NA,NA,start,FALSE
7/15/21,WL,PBGG,Removed,F,NA,10.5,A,3,40,17.7,NA,NA,start,FALSE
6/24/21,WL,PBGW,Removed,M,NA,NA,A,3,62,70.2,NA,NA,start,FALSE
7/15/21,WL,PBGY,Removed,F,NA,13,A,3,53.5,43.3,NA,NA,start,FALSE
7/5/21,CML,PBBR,Removed,M,NA,9,A,3,50,NA,NA,NA,start,FALSE
7/19/21,WL,PBRB,Removed,F,NA,8,A,3,49,31,NA,NA,start,FALSE
6/18/21,WL,PBRK,Removed,M,NA,NA,A,3,43,19.8,NA,NA,start,FALSE
7/9/21,CML,PBGK,Removed,M,NA,NA,A,NA,49,31.1,NA,NA,start,FALSE
7/19/21,WL,PBWB,Removed,F,NA,9,A,3,58,59.9,NA,NA,start,FALSE
6/18/21,WL,PBWR,Removed,M,NA,NA,A,3,58,56,NA,NA,start,FALSE
7/5/21,CML,PBK,Removed,M,NA,8,A,3,66,NA,NA,NA,start,FALSE
7/15/21,WL,PBWW,Removed,F,NA,10.5,A,3,55,46.9,NA,NA,start,FALSE
7/22/21,WL,PBYK,Removed,F,NA,9.5,A,3,55,41.1,NA,NA,start,FALSE
7/15/21,WL,PGG,Removed,F,NA,8,A,3,54.5,41.8,NA,NA,start,FALSE
7/5/21,CML,PBRR,Removed,M,NA,7.5,A,3,51.5,NA,NA,NA,start,FALSE
6/18/21,WL,PGR,Removed,M,NA,NA,A,3,61.5,65.6,NA,NA,start,FALSE
8/22/22,WL,UBBG,Removed,F,3,7,A,3,NA,NA,NA,NA,start,FALSE
8/22/22,WL,UBGK,Removed,F,2,6.5,A,3,NA,NA,NA,NA,start,FALSE
8/22/22,WL,UBGY,Removed,F,1,7,A,3,NA,NA,NA,NA,start,FALSE
8/22/22,WL,UBKK,Removed,F,1,4,A,3,NA,NA,NA,NA,start,FALSE
8/22/22,WL,UBRB,Removed,F,2,3,A,3,NA,NA,NA,NA,start,FALSE
8/1/22,WL,UBYB,Removed,F,3,4,A,3,NA,NA,NA,NA,start,FALSE
5/17/22,CML,R-BBG,Removed,M,3,8,A,3,49,29.8,NA,NA,start,FALSE
5/17/22,CML,R-BBK,Removed,M,3,13.5,A,3,46,24.6,NA,NA,start,FALSE
8/22/22,WL,UBYW,Removed,F,3,8,A,3,NA,NA,NA,NA,start,FALSE
5/17/22,CML,R-BBY —> BY,Removed,M,3,8.5,A,3,59,47,NA,NA,start,FALSE
8/22/22,WL,UGWW,Removed,F,1,8,A,3,NA,NA,NA,NA,start,FALSE
5/17/22,CML,R-BRW,Removed,M,3,9.5,A,3,NA,NA,NA,NA,start,FALSE
5/17/22,CML,R-BW,Removed,M,3,8,A,3,NA,NA,NA,NA,start,FALSE
6/15/22,CML,R-BWG,Removed,M,3,9,A,3,NA,NA,NA,NA,start,FALSE
5/17/22,CML,R-BYW,Removed,M,2,6.5,A,3,NA,NA,NA,NA,start,FALSE
5/17/22,CML,R-GGK,Removed,M,3,8,A,3,50,30.4,NA,NA,start,FALSE
6/15/22,CML,R-GR,Removed,M,3,7,A,3,69,72,NA,NA,start,FALSE
6/15/22,CML,R-GY,Removed,M,3,11,A,3,66,67,NA,NA,start,FALSE
5/17/22,CML,R-KBK,Removed,M,3,7,A,3,48,26.9,NA,NA,start,FALSE
8/22/22,WL,UGYY,Removed,F,1,4,A,3,NA,NA,NA,NA,start,FALSE
5/17/22,CML,R-KWK,Removed,M,2,6,A,3,54,NA,NA,NA,start,FALSE
8/22/22,WL,UYBK,Removed,F,2,5.5,A,3,NA,NA,NA,NA,start,FALSE
6/8/22,CML,R-RBW,Removed,M,5,8.5,A,3,51,NA,NA,NA,start,FALSE
5/17/22,CML,R-RGR,Removed,M,3,3.5,A,3,56,NA,NA,NA,start,FALSE
5/17/22,CML,R-W,Removed,M,3,7.5,A,3,NA,NA,NA,NA,start,FALSE
6/8/22,CML,R-WBW,Removed,M,3,9,A,3,NA,NA,NA,NA,start,FALSE
5/17/22,CML,R-WGK,Removed,M,3,9.5,A,3,NA,NA,NA,NA,start,FALSE
6/8/22,CML,R-WGW,Removed,M,3,3,A,3,NA,NA,NA,NA,start,FALSE
6/8/22,CML,R-WWK,Removed,M,3,7.5,A,3,NA,NA,NA,NA,start,FALSE
7/27/22,CML,U-BBB,Removed,F,3,9,A,3,NA,NA,NA,NA,start,FALSE
8/1/22,CML,U-BBW,Removed,F,3,8,A,3,NA,NA,NA,NA,start,FALSE
8/19/22,CML,U-BBY (U-YRR),Removed,F,3,10,A,3,NA,NA,NA,NA,start,FALSE
8/19/22,CML,U-BGR,Removed,F,3.5,8.5,A,3,NA,NA,NA,NA,start,FALSE
8/19/22,CML,U-BGW,Removed,F,2.5,12.5,A,3,NA,NA,NA,NA,start,FALSE
8/19/22,CML,U-BK,Removed,F,1,7,A,3,NA,NA,NA,NA,start,FALSE
8/19/22,CML,U-BKY (U-YYK),Removed,F,5,10.5,A,3,NA,NA,NA,NA,start,FALSE
8/1/22,CML,U-BR,Removed,F,3,7.5,A,3,NA,NA,NA,NA,start,FALSE
7/27/22,CML,U-BRG,Removed,F,3,10,A,3,NA,NA,NA,NA,start,FALSE
8/19/22,CML,U-BRK (U-RYK),Removed,F,2,7.5,A,3,NA,NA,NA,NA,start,FALSE
8/19/22,CML,U-BRR (U-WBK),Removed,F,4,14,A,3,NA,NA,NA,NA,start,FALSE
8/1/22,CML,U-BRW,Removed,F,3,8,A,3,NA,NA,NA,NA,start,FALSE
8/1/22,CML,U-BWB,Removed,F,3,11,A,3,NA,NA,NA,NA,start,FALSE
8/1/22,CML,U-BWG,Removed,F,4,7,A,3,NA,NA,NA,NA,start,FALSE
8/1/22,CML,U-BWR,Removed,F,3,7,A,3,NA,NA,NA,NA,start,FALSE
8/19/22,CML,U-BWY,Removed,F,3,8.5,A,3,NA,NA,NA,NA,start,FALSE
8/19/22,CML,U-BYR,Removed,F,3,6.5,A,3,NA,NA,NA,NA,start,FALSE
8/19/22,CML,U-BYY (U-GRR),Removed,F,3.5,7.5,A,3,NA,NA,NA,NA,start,FALSE
8/19/22,CML,U-G (U-YRW),Removed,F,3,7.5,A,3,NA,NA,NA,NA,start,FALSE
8/1/22,CML,U-GBG,Removed,F,4,8,A,3,NA,NA,NA,NA,start,FALSE
8/19/22,CML,U-GBW,Removed,F,4.5,8,A,3,NA,NA,NA,NA,start,FALSE
8/1/22,CML,U-GGG,Removed,F,4,9.5,A,3,NA,NA,NA,NA,start,FALSE
8/1/22,CML,U-GGK,Removed,F,3,11.5,A,3,NA,NA,NA,NA,start,FALSE
8/19/22,CML,U-GGR,Removed,F,3,7,A,3,NA,NA,NA,NA,start,FALSE
8/19/22,CML,U-GKG (U-RK),Removed,F,3,7.5,A,3,NA,NA,NA,NA,start,FALSE
8/1/22,CML,U-GKK,Removed,F,3,7.5,A,3,NA,NA,NA,NA,start,FALSE
8/1/22,CML,U-GKW,Removed,F,3,6.5,A,3,NA,NA,NA,NA,start,FALSE
8/19/22,CML,U-GRG (U-YKK),Removed,F,4,7.5,A,3,NA,NA,NA,NA,start,FALSE
8/19/22,CML,U-GW (U-RBR),Removed,F,2,6,A,3,NA,NA,NA,NA,start,FALSE
8/19/22,CML,U-GWR,Removed,F,1,6,A,3,NA,NA,NA,NA,start,FALSE
8/1/22,CML,U-GYG,Removed,F,3,10.5,A,3,NA,NA,NA,NA,start,FALSE
8/1/22,CML,U-YBR,Removed,F,3,5,A,3,NA,NA,NA,NA,start,FALSE
7/27/22,CML,U-YBY,Removed,F,5,10.5,A,3,NA,NA,NA,NA,start,FALSE
8/19/22,CML,U-YGK,Removed,F,3.5,11,A,3,NA,NA,NA,NA,start,FALSE
8/1/22,CML,U-YGY,Removed,F,3,5.5,A,3,NA,NA,NA,NA,start,FALSE
7/27/22,CML,U-YYR,Removed,F,4,7,A,3,NA,NA,NA,NA,start,FALSE
7/27/22,CML,U-YYY,Removed,F,4,8,A,3,NA,NA,NA,NA,start,FALSE
8/22/22,WL,UYGR,Removed,F,4,9.5,A,3,NA,NA,NA,NA,start,FALSE
8/22/22,WL,UYKR,Removed,F,1,4.5,A,3,NA,NA,NA,NA,start,FALSE
