Date,Time,Condo ID,Crab ID,Outcome,Sex,Color,RI,Status,Shell Hardness,Black Light Fluorescence,Photo ID,Fed (Y/N),Post-molt CW (mm),Post-molt mass (g),Digital RI,Ca (ppm),Notes/Observations
6/21/21,9:36,WL,BGKG,Molted,M,NA,8,A,3,L,NA,N,NA,NA,NA,NA,NA
6/24/21,10:05,WL,BGKG,Molted,M,NA,NA,A,3,L,101-0014,N,NA,NA,NA,NA,"Soft exoskeleton in cell, maybe ate B-GG"
6/28/21,10:12,WL,BGKG,Molted,M,NA,8,A,3,L,NA,N,NA,NA,NA,NA,Barely fluorescing
7/1/21,10:16,WL,BGKG,Molted,M,NA,NA,A,3,L,101-0045,N,NA,NA,NA,NA,Barely fluorescing
7/5/21,8:58,WL,BGKG,Molted,M,NA,7,A,3,L,NA,N,NA,NA,NA,NA,Barely fluorescing
7/8/21,9:32,WL,BGKG,Molted,M,NA,NA,A,3,L,101-0073,N,NA,NA,NA,NA,NA
7/12/21,14:55,WL,BGKG,Molted,M,NA,6.5,A,3,L,NA,N,NA,NA,NA,NA,NA
7/15/21,9:40,WL,BGKG,Molted,M,NA,NA,A,3,L,101-0109,N,NA,NA,NA,NA,Just tips fluorescing
7/19/21,10:26,WL,BGKG,Molted,M,NA,NA,M,1,NA,NA,N,NA,NA,NA,NA,"Fresh molt, too squishy"
6/3/21,9:17,WL,BGKK,Removed,M,NA,NA,A,3,L,"12,13",N,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35
6/7/21,9:13,WL,BGKK,Removed,M,NA,7,A,3,L,"44,45",Y,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35
6/10/21,9:31,WL,BGKK,Removed,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,"Legs barely fluorescing, Removed from tray (non-premolt) on 6/17/2021 12:35"
6/14/21,14:33,WL,BGKK,Removed,M,NA,6,A,3,L,"92,93",Y,NA,NA,NA,NA,"Barely fluorescing,Removed from tray (non-premolt) on 6/17/2021 12:35"
6/18/21,10:38,WL,BGKR,Removed,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,NA
6/21/21,9:36,WL,BGKR,Removed,M,NA,9,A,3,L,NA,N,NA,NA,NA,NA,NA
6/24/21,10:05,WL,BGKR,Removed,M,NA,NA,A,3,L,101-0003,N,NA,NA,NA,NA,NA
6/28/21,10:12,WL,BGKR,Removed,M,NA,8,A,3,L,NA,N,NA,NA,NA,NA,Barely Fluorescing
7/1/21,10:16,WL,BGKR,Removed,M,NA,NA,A,3,L,101-0033,N,NA,NA,NA,NA,Barely fluoresce in tips
7/5/21,8:58,WL,BGKR,Removed,M,NA,7.5,A,3,L,NA,N,NA,NA,NA,NA,Lathargic
7/8/21,9:32,WL,BGKR,Removed,M,NA,NA,A,3,L,101-0061,N,NA,NA,NA,NA,Lathargic; 11/10/22- Deleted duplicate entry
