Crab ID,Condo ID,Cell ID,Date Added,Date Removed,Days in Condo,Time Added (24hr),CW (mm),Weight (g),Sex (M/F),# Limbs Missing,Outcome,Notes/Observations,,,,,,,,,,,,
KWYK,WL,F5,8/1/22,8/22/22,22,NA,46.0,26.9,F,0,Dead,,,,,,,,,,,,,
KWYW,WL,A5,7/18/22,8/9/22,22,NA,49.0,29.5,F,1,Removed,,,,,,,,,,,,,
KYBW,WL,C3,7/29/22,8/9/22,11,NA,58.0,51.0,F,1,Removed,claw missing,,,,,,,,,,,,
KYGR,WL,C4,7/29/22,8/15/22,17,NA,53.0,35.7,F,3,Dead,,,,,,,,,,,,,
KYKR,WL,E1,8/1/22,8/22/22,22,NA,50.0,34.3,F,0,Removed,,,,,,,,,,,,,
KYKW,WL,B6,6/16/22,6/28/22,13,NA,47.0,30.0,M,0,Missing,,,,,,,,,,,,,
KYWK,WL,D1,6/16/22,6/28/22,13,NA,51.0,39.0,M,0,Missing,,,,,,,,,,,,,
KYWR,WL,A6,8/1/22,8/22/22,22,NA,59.0,55.4,F,0,Removed,,,,,,,,,,,,,
KYWW,WL,D2,6/16/22,7/11/22,26,NA,56.0,66.2,M,1,Removed,,,,,,,,,,,,,
KYWY,WL,E3,8/1/22,8/3/22,2,NA,38.0,16.6,F,0,Dead,"shell loose, looked about to molt",,,,,,,,,,,,
KYYR,WL,D6,6/16/22,6/23/22,8,NA,42.0,22.1,M,0,Missing,,,,,,,,,,,,,
KYYW,WL,C2,7/18/22,8/9/22,22,NA,51.0,38.5,F,0,Removed,,,,,,,,,,,,,
KYYY,WL,E1,6/16/22,7/11/22,26,NA,57.0,56.1,M,0,Removed,,,,,,,,,,,,,
OB,CML,C4,6/25/21,7/23/21,29,11:39,58.0,50.6,M,4,Removed,"Removed 7/23/21 (In condo for 4 weeks); 1 claw, 3 legs",,,,,,,,,,,,
OBB,WL,E3,6/10/21,6/28/21,18,11:55,49.0,33.2,M,0,Molted,,,,,,,,,,,,,
OBBG,WL,F4,6/10/21,6/17/21,7,11:55,48.0,31.1,M,0,Removed,Removed from tray (non-premolt) on 6/17/2021 12:35,,,,,,,,,,,,
OBBR,CML,C2,6/25/21,6/29/21,5,11:28,44.0,22.2,M,1,Dead,Dead 6/29/21; 1 leg,,,,,,,,,,,,
OBBW,WL,D5,6/10/21,6/17/21,7,11:55,63.0,74.9,M,0,Removed,Removed from tray (non-premolt) on 6/17/2021 12:35,,,,,,,,,,,,
OBBY,CML,A3,6/25/21,7/23/21,29,10:37,58.0,57.9,M,0,Removed,Removed 7/23/21 (in condo for 4 weeks),,,,,,,,,,,,
OBG,WL,E1,6/10/21,6/21/21,11,11:55,44.0,24.2,M,0,Molted,,,,,,,,,,,,,
OBGB,CML,C6,6/25/21,7/20/21,26,11:48,58.0,54.2,M,1,Dead,Dead 7/20/21,,,,,,,,,,,,
