date,condo_id,crab_id,outcome,sex,hemo_color,hemo_ri,status,shell_hardness,digital_ri,ca,start_end
6/30/22,WL,KYWW,Removed,M,3,8,A,3,7.4,327,
7/5/22,WL,KYWW,Removed,M,3,8,A,3,8.3,339,
7/7/22,WL,KYWW,Removed,M,3,7,A,3,7.3,319,
6/16/22,WL,KYY,Removed,M,3,9,A,3,10,381,
6/23/22,WL,KYY,Removed,M,4,6.5,A,3,NA,NA,
6/28/22,WL,KYY,Removed,M,1,6,A,3,NA,210,
6/30/22,WL,KYY,Removed,M,3,6.5,A,3,7.4,309,
7/5/22,WL,KYY,Removed,M,3,7,A,3,7.0,341,
7/7/22,WL,KYY,Removed,M,3,6,A,3,6.4,358,
6/16/22,WL,KYYR,Missing,M,3,9,A,3,NA,NA,
6/23/22,WL,KYYR,Missing,M,3,4,A,3,NA,NA,
7/18/22,WL,KYYW,,F,3,8.5,A,3,8.6,396,
7/21/22,WL,KYYW,,F,3,8,A,3,7.5,346,
7/26/22,WL,KYYW,,F,2,7.5,A,3,7.7,376,
6/16/22,WL,KYYY,Removed,M,3,6,A,3,NA,NA,
6/21/22,WL,KYYY,Removed,M,1,5,A,3,NA,NA,
7/22/21,WL,BGBY,Removed,M,NA,NA,A,3,NA,NA,end
6/29/21,CML,OB,Removed,M,NA,8,A,3,NA,NA,NA
7/1/21,CML,OB,Removed,M,NA,NA,A,3,NA,NA,NA
7/5/21,CML,OB,Removed,M,NA,8.5,A,3,NA,NA,NA
7/9/21,CML,OB,Removed,M,NA,NA,A,NA,NA,NA,NA
7/13/21,CML,OB,Removed,M,NA,7,A,3,NA,NA,NA
7/15/21,CML,OB,Removed,M,NA,NA,A,3,NA,NA,NA
7/20/21,CML,OB,Removed,M,NA,7,A,3,NA,NA,NA
7/22/21,WL,BGKR,Removed,M,NA,NA,A,3,NA,NA,end
7/22/21,WL,BGW,Removed,M,NA,NA,A,3,NA,NA,end
6/14/21,WL,OBB,Molted,M,NA,5.5,A,3,NA,NA,NA
6/18/21,WL,OBB,Molted,M,NA,NA,A,3,NA,NA,NA
6/21/21,WL,OBB,Molted,M,NA,12,A,3,NA,NA,NA
6/24/21,WL,OBB,Molted,M,NA,NA,A,3,NA,NA,NA
7/22/21,WL,BGYG,Removed,M,NA,NA,A,3,NA,NA,end
7/22/21,WL,OBW,Dead,M,NA,NA,D,NA,NA,NA,end
7/22/21,WL,OBYK,Removed,M,NA,NA,A,3,NA,NA,end
7/22/21,WL,PB,Removed,F,NA,8,A,3,NA,NA,start
7/22/21,WL,PBBG,Molted,F,NA,6.5,M,1,NA,NA,end
7/22/21,WL,PBBK,Removed,F,NA,10,A,3,NA,NA,start
7/22/21,WL,PBGR,Missing,F,NA,7.5,A,3,NA,NA,start
7/22/21,WL,PBGW,Removed,M,NA,NA,A,3,NA,NA,end
6/29/21,CML,OBBY,Removed,M,NA,10,A,3,NA,NA,NA
7/1/21,CML,OBBY,Removed,M,NA,9.5,A,3,NA,NA,NA
7/5/21,CML,OBBY,Removed,M,NA,9,A,3,NA,NA,NA
7/9/21,CML,OBBY,Removed,M,NA,5.5,A,NA,NA,NA,NA
7/13/21,CML,OBBY,Removed,M,NA,8,A,3,NA,NA,NA
7/15/21,CML,OBBY,Removed,M,NA,8,A,3,NA,NA,NA
7/20/21,CML,OBBY,Removed,M,NA,7,A,3,NA,NA,NA
7/22/21,WL,PBR,Dead,F,NA,6.5,A,3,NA,NA,start
7/22/21,WL,PBRG,Molted,F,NA,6,M,1,NA,NA,end
6/14/21,WL,OBG,Molted,M,NA,8,A,3,NA,NA,NA
6/18/21,WL,OBG,Molted,M,NA,NA,A,3,NA,NA,NA
6/21/21,WL,OBG,Molted,M,NA,NA,P,3,NA,NA,NA
