date,condo_id,crab_id,outcome,sex,hemo_col,hemo_ri,status,shell_hardness,cw,mass,digital_ri,ca,start_end
6/13/22,WL,GBWR,Removed,M,3,11,A,3,NA,NA,10,352,start
7/7/22,WL,GBWR,Removed,M,4,13.5,A,3,NA,NA,NA,NA,end
5/19/22,WL,GBWW,Dead,M,3,9,A,3,NA,NA,NA,NA,start
6/6/22,WL,GBWW,Dead,M,3,7,A,3,NA,NA,NA,NA,end
5/19/22,WL,GBWY,Removed,M,3,11,A,3,NA,NA,NA,NA,start
5/31/22,WL,GBWY,Removed,M,3,9,A,3,NA,NA,NA,NA,end
5/19/22,WL,GBY,Removed,M,2,2.5,A,3,NA,NA,NA,NA,start
6/13/22,WL,GBY,Removed,M,4,11,A,3,NA,NA,NA,NA,end
5/19/22,WL,GBYB,Molted,M,5,10,A,3,NA,NA,NA,NA,start
5/31/22,WL,GBYB,Molted,M,3,13,A,3,NA,NA,NA,NA,end
5/19/22,WL,GBYG,Removed,M,2,11,A,3,NA,NA,NA,NA,start
6/13/22,WL,GBYG,Removed,M,3,7,A,3,NA,NA,NA,NA,end
5/19/22,WL,GBYR,Dead,M,1,5.5,A,3,NA,NA,NA,NA,start
6/6/22,WL,GBYR,Dead,M,NA,NA,D,3,NA,NA,NA,NA,end
5/19/22,WL,GBYY,Removed,M,3,11,A,3,NA,NA,NA,NA,start
6/8/22,WL,GBYY,Removed,M,3,8,A,3,NA,NA,NA,NA,end
5/19/22,WL,GGBG,Removed,M,3,9,A,3,NA,NA,NA,NA,start
6/13/22,WL,GGBG,Removed,M,5,8,A,3,NA,NA,NA,NA,end
6/2/22,WL,GGBR,Molted,M,3,10,A,3,NA,NA,NA,NA,start
6/13/22,WL,GGBR,Molted,M,NA,NA,MIA,NA,NA,NA,NA,NA,end
5/19/22,WL,GGBW,Removed,M,3,9,A,3,NA,NA,NA,NA,start
6/13/22,WL,GGBW,Removed,M,3,6,A,3,NA,NA,NA,NA,end
5/19/22,WL,GGBY,Molted,M,3,11.5,A,3,NA,NA,NA,NA,start
5/31/22,WL,GGBY,Molted,M,NA,NA,M,2,53,35.1,NA,NA,end
6/13/22,WL,GGG,Removed,M,3,7.5,A,3,NA,NA,NA,NA,start
7/7/22,WL,GGG,Removed,M,3,6,A,3,NA,NA,6.1,313,end
5/19/22,WL,GGGG,Dead,M,1,7,A,3,NA,NA,NA,NA,start
6/6/22,WL,GGGG,Dead,M,NA,NA,D,NA,NA,NA,NA,NA,end
5/31/22,WL,GGGW,Molted,M,3,10.5,A,3,NA,NA,NA,NA,start
6/13/22,WL,GGGW,Molted,M,3,7,P,3,NA,NA,NA,NA,end
5/19/22,WL,GGGY,Molted,M,4,12.5,A,3,NA,NA,NA,NA,end
5/23/22,WL,GGGY,Molted,M,4,10,A,3,NA,NA,NA,NA,start
5/19/22,WL,GGKG,Molted,M,1,6,A,3,NA,NA,NA,NA,start
6/2/22,WL,GGKG,Molted,M,3,9.5,A,3,NA,NA,NA,NA,end
5/19/22,WL,GGKR,Molted,M,1,7,A,3,NA,NA,NA,NA,start
6/13/22,WL,GGKR,Molted,M,2,12.5,A,3,NA,NA,NA,NA,end
5/19/22,WL,GGRK,Removed,M,2,5,A,3,NA,NA,NA,NA,start
6/13/22,WL,GGRK,Removed,M,4,11.5,A,3,NA,NA,NA,NA,end
5/19/22,WL,GGRR,Dead,M,3,10,A,3,NA,NA,NA,NA,start
6/2/22,WL,GGRR,Dead,M,2,4,A,3,NA,NA,NA,NA,end
6/13/22,WL,GGW,Molted,M,3,11,A,3,NA,NA,11.9,403,start
6/21/22,WL,GGW,Molted,M,3,8,A,3,NA,NA,NA,NA,end
6/13/22,WL,GGWG,Dead,M,3,7,A,3,NA,NA,8.2,365,start
6/21/22,WL,GGWG,Dead,M,3,9,A,3,NA,NA,NA,NA,end
6/13/22,WL,GGWK,Removed,M,3,8,A,3,NA,NA,9,332,start
7/14/22,WL,GGWK,Removed,M,1,9,A,3,NA,NA,NA,NA,end
5/19/22,WL,GGYG,Removed,M,2,8.5,A,3,NA,NA,NA,NA,start
6/13/22,WL,GGYG,Removed,M,2,8.5,A,3,NA,NA,NA,NA,end
5/19/22,WL,GGYR,Removed,M,1,7.5,A,3,NA,NA,NA,NA,start
6/13/22,WL,GGYR,Removed,M,3,5,A,3,NA,NA,NA,NA,end
5/31/22,WL,GGYW,Removed,M,1,5.5,A,3,NA,NA,NA,NA,start
6/21/22,WL,GGYW,Removed,M,3,8.5,A,3,NA,NA,NA,NA,end
5/19/22,WL,GYGK,Removed,M,3,10,A,3,NA,NA,NA,NA,start
6/13/22,WL,GYGK,Removed,M,3,4.5,A,3,NA,NA,NA,NA,end
5/19/22,WL,GYGW,Removed,M,3,11.5,A,3,NA,NA,NA,NA,start
6/8/22,WL,GYGW,Removed,M,3,9,A,3,NA,NA,NA,NA,end
6/1/22,Lab,I1,Intermolt,M,NA,5.2,I,NA,NA,NA,5.2,425,start
6/14/22,Lab,I10,Intermolt,M,NA,6,I,NA,NA,NA,5.1,371,start
6/14/22,Lab,I11,Intermolt,M,NA,5,I,NA,NA,NA,5.8,362,start
6/14/22,Lab,I12,Intermolt,M,NA,8,I,NA,NA,NA,8.8,289,start
6/28/22,Lab,I13,Intermolt,F,NA,4.5,I,NA,NA,NA,6.9,323,start
6/28/22,Lab,I14,Intermolt,M,NA,4,I,NA,NA,NA,7,,start
7/14/22,Lab,I15,Intermolt,M,1,6.5,I,NA,NA,NA,NA,404,start
7/14/22,Lab,I16,Intermolt,F,1,7.5,I,NA,NA,NA,NA,383,start
7/14/22,Lab,I17,Intermolt,M,1,4.5,I,NA,NA,NA,5.3,219,start
7/14/22,Lab,I18,Intermolt,M,3,5,I,NA,NA,NA,5.4,333,start
7/14/22,Lab,I19,Intermolt,M,1,6,I,NA,NA,NA,6.4,249,start
6/1/22,Lab,I2,Intermolt,M,NA,5.4,I,NA,NA,NA,5.4,425,start
7/14/22,Lab,I20,Intermolt,F,2,4.5,I,NA,NA,NA,4.8,378,start
7/14/22,Lab,I21,Intermolt,M,2,5,I,NA,NA,NA,6.7,251,start
7/14/22,Lab,I22,Intermolt,M,1,4,I,NA,NA,NA,4.8,271,start
7/14/22,Lab,I23,Intermolt,M,3,5,I,NA,NA,NA,5,294,start
7/14/22,Lab,I24,Intermolt,M,1,5,I,NA,NA,NA,7.4,363,start
7/14/22,Lab,I25,Intermolt,F,1,7.5,I,NA,NA,NA,NA,NA,start
7/14/22,Lab,I26,Intermolt,M,1,5,I,NA,NA,NA,5.9,309,start
7/14/22,Lab,I27,Intermolt,M,1,5,I,NA,NA,NA,5.2,334,start
7/14/22,Lab,I28,Intermolt,F,3,9,I,NA,NA,NA,10.1,351,start
7/14/22,Lab,I29,Intermolt,F,1,7,I,NA,NA,NA,7.3,398,start
6/1/22,Lab,I3,Intermolt,M,NA,5.3,I,NA,NA,NA,5.3,364,start
7/14/22,Lab,I30,Intermolt,F,1,10,I,NA,NA,NA,8.5,304,start
7/14/22,Lab,I31,Intermolt,M,3,8.5,I,NA,NA,NA,8.2,349,start
6/1/22,Lab,I4,Intermolt,M,NA,6.4,I,NA,NA,NA,6.4,433,start
6/1/22,Lab,I5,Intermolt,M,NA,5.5,I,NA,NA,NA,5.5,430,start
6/1/22,Lab,I6,Intermolt,M,NA,10.5,I,NA,NA,NA,10.5,433,start
6/1/22,Lab,I7,Intermolt,M,NA,5.5,I,NA,NA,NA,5.5,250,start
6/1/22,Lab,I8,Intermolt,M,NA,5.9,I,NA,NA,NA,5.9,354,start
6/14/22,Lab,I9,Intermolt,M,NA,5.5,I,NA,NA,NA,6,350,start
8/1/22,WL,KB,Removed,F,2,6,A,3,NA,NA,NA,NA,start
8/18/22,WL,KB,Removed,F,2,5.5,A,3,NA,NA,NA,NA,end
8/1/22,WL,KBBK,Removed,F,3,9,A,3,NA,NA,NA,NA,start
8/18/22,WL,KBBK,Removed,F,3,7,A,3,NA,NA,NA,NA,end
7/18/22,WL,KBBR,Removed,F,4,7,A,3,NA,NA,7,375,start
8/1/22,WL,KBBR,Removed,F,NA,NA,R,NA,NA,NA,NA,NA,end
6/23/22,WL,KBBW,Removed,M,3,6,A,3,NA,NA,NA,NA,start
7/14/22,WL,KBBW,Removed,M,1,5,A,3,NA,NA,5.6,355,end
7/18/22,WL,KBBY,Removed,F,3,11.5,A,3,NA,NA,6.3,420,start
8/3/22,WL,KBBY,Removed,F,4,6.5,A,3,NA,NA,NA,NA,end
8/1/22,WL,KBG,Removed,F,3,7,A,3,NA,NA,NA,NA,start
8/18/22,WL,KBG,Removed,F,2,6.5,A,3,NA,NA,NA,NA,end
8/22/22,WL,KBGR,Dead,F,1,6,A,3,NA,NA,NA,NA,start
9/15/22,WL,KBGR,Dead,F,NA,NA,D,3,NA,NA,NA,NA,end
7/18/22,WL,KBKB,Removed,F,3,7,A,3,NA,NA,7,374,start
8/9/22,WL,KBKB,Removed,F,NA,NA,A,3,NA,NA,NA,NA,end
8/22/22,WL,KBKR,Dead,F,2,7,A,3,NA,NA,NA,NA,start
9/6/22,WL,KBKR,Dead,F,NA,NA,D,3,NA,NA,NA,NA,end
8/1/22,WL,KBKY,Removed,F,3,5.5,A,3,NA,NA,NA,NA,start
8/18/22,WL,KBKY,Removed,F,2,4,A,3,NA,NA,NA,NA,end
8/1/22,WL,KBRR,Removed,F,3,7.5,A,3,NA,NA,NA,NA,start
8/18/22,WL,KBRR,Removed,F,2,4,A,3,NA,NA,NA,NA,end
7/18/22,WL,KBWK,Removed,F,3,8,A,3,NA,NA,8.7,431,start
7/21/22,WL,KBWK,Removed,F,NA,NA,A,3,NA,NA,NA,NA,end
8/22/22,WL,KBWR,Removed,F,2,5.5,A,3,NA,NA,NA,NA,start
9/1/22,WL,KBWR,Removed,F,1,4,A,3,NA,NA,NA,NA,end
8/22/22,WL,KBWW,Dead,F,3,7,A,3,NA,NA,NA,NA,start
9/6/22,WL,KBWW,Dead,F,1,3,A,3,NA,NA,NA,NA,end
8/22/22,WL,KGBG,Removed,F,3,7,A,3,NA,NA,NA,NA,start
9/22/22,WL,KGBG,Removed,F,1,5,A,3,NA,NA,NA,NA,end
8/22/22,WL,KGG,Dead,F,1,8,A,3,NA,NA,NA,NA,start
8/26/22,WL,KGG,Dead,F,2,6,A,3,NA,NA,NA,NA,start
9/15/22,WL,KGG,Dead,F,3,3,A,3,NA,NA,NA,NA,end
9/19/22,WL,KGG,Dead,F,NA,NA,D,3,NA,NA,NA,NA,end
8/22/22,WL,KGK,Removed,F,1,6.5,A,3,NA,NA,NA,NA,start
9/6/22,WL,KGK,Removed,F,3,8,A,3,NA,NA,NA,NA,end
8/22/22,WL,KGKR,Dead,F,NA,NA,D,3,NA,NA,NA,NA,start
8/26/22,WL,KGKR,Dead,F,1,6.5,A,3,NA,NA,NA,NA,end
8/1/22,WL,KGRK,Removed,F,1,4,A,3,NA,NA,NA,NA,start
8/18/22,WL,KGRK,Removed,F,2,4,A,3,NA,NA,NA,NA,end
8/22/22,WL,KGWR,Removed,F,3,13,A,3,NA,NA,NA,NA,start
9/22/22,WL,KGWR,Removed,F,3,6.5,A,3,NA,NA,NA,NA,end
8/22/22,WL,KGWY,Removed,F,1,8.5,A,3,NA,NA,NA,NA,start
9/22/22,WL,KGWY,Removed,F,2,5,A,3,NA,NA,NA,NA,end
8/22/22,WL,KGYG,Dead,F,2,7,A,3,NA,NA,NA,NA,start
9/22/22,WL,KGYG,Dead,F,NA,NA,M,1,NA,NA,NA,NA,end
8/1/22,WL,KK,Removed,F,1,7.5,A,3,NA,NA,NA,NA,start
8/18/22,WL,KK,Removed,F,3,6.5,A,3,NA,NA,NA,NA,end
6/16/22,WL,KKBK,Removed,M,2,6,A,3,NA,NA,7.2,448,start
7/7/22,WL,KKBK,Removed,M,1,5,A,3,NA,NA,3.8,323,end
6/16/22,WL,KKGK,Missing,M,4,6,A,3,NA,NA,NA,NA,start
6/23/22,WL,KKGK,Missing,M,3,3,A,3,NA,NA,NA,NA,end
8/1/22,WL,KKK,Removed,F,2,6,A,3,NA,NA,NA,NA,start
8/15/22,WL,KKK,Removed,F,3,7,A,3,NA,NA,6.9,394,end
7/18/22,WL,KKKK,Removed,F,3,6,A,3,NA,NA,6.2,247,start
8/9/22,WL,KKKK,Removed,F,3,3.5,A,3,NA,NA,NA,NA,end
8/1/22,WL,KKWK,Removed,M,2,6,A,3,NA,NA,NA,NA,start
8/18/22,WL,KKWK,Removed,F,1,5,A,3,NA,NA,NA,NA,end
8/1/22,WL,KKYK,Removed,F,2,6,A,3,NA,NA,NA,NA,start
8/18/22,WL,KKYK,Removed,F,3,5,A,3,NA,NA,NA,NA,end
7/18/22,WL,KR,Dead,F,3,5.5,A,3,NA,NA,NA,NA,start
8/1/22,WL,KR,Dead,F,1,4.5,A,3,NA,NA,NA,NA,end
8/1/22,WL,KRBK,Removed,F,NA,NA,D,,NA,NA,NA,NA,start
8/18/22,WL,KRBK,Removed,F,2,7.5,A,3,NA,NA,NA,NA,end
6/23/22,WL,KRBR,Dead,F,2,7,A,3,NA,NA,NA,NA,start
7/5/22,WL,KRBR,Dead,M,3,5,A,3,NA,NA,5.6,350,end
7/18/22,WL,KRBW,Removed,M,NA,NA,D,NA,NA,NA,NA,NA,start
8/9/22,WL,KRBW,Removed,F,4,9.5,A,3,NA,NA,10.5,396,end
6/16/22,WL,KRGK,Missing,F,5,8.5,A,3,NA,NA,9.2,384,start
6/23/22,WL,KRGK,Missing,F,NA,NA,M,NA,NA,NA,NA,NA,end
7/18/22,WL,KRGR,Molted,F,2,6.5,A,3,NA,NA,7.7,425,start
8/1/22,WL,KRGR,Molted,F,3,6,A,3,NA,NA,NA,NA,end
7/18/22,WL,KRGW,Removed,F,3,5,A,3,NA,NA,NA,NA,start
8/9/22,WL,KRGW,Removed,F,1,5.5,A,3,NA,NA,NA,NA,end
8/1/22,WL,KRK,Removed,F,1,4.5,A,3,NA,NA,NA,NA,start
8/18/22,WL,KRK,Removed,F,3,7.5,A,3,NA,NA,7,339,end
7/18/22,WL,KRR,Missing,F,2,7,A,3,NA,NA,6.8,356,start
8/1/22,WL,KRR,Missing,F,3,6.5,A,3,NA,NA,NA,NA,end
8/1/22,WL,KRRR,Removed,F,3,7,A,3,NA,NA,NA,NA,start
8/18/22,WL,KRRR,Removed,F,2,5,A,3,NA,NA,NA,NA,end
8/1/22,WL,KRW,Removed,F,3,8,A,3,NA,NA,NA,NA,start
8/18/22,WL,KRW,Removed,F,4,8.5,A,3,NA,NA,NA,NA,end
6/16/22,WL,KRWK,Missing,F,4,6,A,3,NA,NA,NA,NA,start
6/30/22,WL,KRWK,Missing,M,3,6,A,3,NA,NA,6,469,end
6/16/22,WL,KRWR,Missing,M,3,5.5,A,3,NA,NA,5.6,333,start
6/23/22,WL,KRWR,Missing,M,1,4,A,3,NA,NA,NA,NA,end
6/16/22,WL,KRWW,Missing,M,3,4,A,3,NA,NA,NA,NA,start
7/7/22,WL,KRWW,Missing,M,1,4,A,3,NA,NA,3.3,321,end
6/16/22,WL,KRYR,Removed,M,1,4,A,3,NA,NA,4.4,291,start
7/14/22,WL,KRYR,Removed,M,1,4,A,3,NA,NA,3.5,290,end
8/1/22,WL,KRYW,Removed,M,2,4.5,A,3,NA,NA,5,312,start
8/18/22,WL,KRYW,Removed,F,3,6,A,3,NA,NA,NA,NA,end
8/1/22,WL,KWBK,Removed,F,3,4,A,3,NA,NA,NA,NA,start
8/18/22,WL,KWBK,Removed,F,1,5,A,3,NA,NA,NA,NA,end
7/18/22,WL,KWGK,Removed,F,1,6,A,3,NA,NA,NA,NA,start
8/1/22,WL,KWGK,Removed,F,3,6.5,A,3,NA,NA,7.1,377,end
8/1/22,WL,KWGW,Missing,F,2,5.5,A,3,NA,NA,NA,NA,start
8/18/22,WL,KWGW,Missing,F,3,6.5,A,3,NA,NA,NA,NA,end
8/1/22,WL,KWKK,Removed,F,4,6,A,3,NA,NA,NA,NA,start
8/12/22,WL,KWKK,Removed,F,5,11,A,3,NA,NA,NA,NA,end
8/1/22,WL,KWKW,Removed,F,1,10,A,3,NA,NA,NA,NA,start
8/18/22,WL,KWKW,Removed,F,1,5.5,A,3,NA,NA,NA,NA,end
8/1/22,WL,KWRK,Removed,F,2,10,A,3,NA,NA,NA,NA,start
8/18/22,WL,KWRK,Removed,F,2,7,A,3,NA,NA,NA,NA,end
8/1/22,WL,KWRW,Removed,F,1,8,A,3,NA,NA,NA,NA,start
8/18/22,WL,KWRW,Removed,F,2,6,A,3,NA,NA,NA,NA,end
