date,condo_id,crab_id,outcome,sex,hemo_color,hemo_ri,status,shell_hardness,digital_ri,ca,start_end
8/6/21,CML,YYYW,Removed,F,NA,9.5,A,3,NA,NA,start
8/10/21,CML,YYK,Dead,F,NA,NA,NA,NA,NA,NA,end
8/12/21,WL,PBGR,Missing,F,NA,6,A,3,NA,NA,end
8/12/21,WL,YBG,Dead,F,NA,NA,D,NA,NA,NA,end
8/12/21,WL,YBYB,Molted,F,NA,5,M,2,NA,NA,end
8/16/21,WL,PBR,Dead,F,NA,NA,D,3,NA,NA,end
8/16/21,WL,PBWY,Dead,F,NA,NA,D,3,NA,NA,end
8/16/21,WL,PBYB,Dead,F,NA,NA,D,3,NA,NA,end
8/17/21,CML,YBKG,Dead,F,NA,NA,D,NA,NA,NA,end
8/17/21,CML,YYGY,Molted,F,NA,5,M,1,NA,NA,end
8/19/21,CML,YBGR,Molted,F,NA,4,M,1,NA,NA,end
8/19/21,CML,YBGW,Molted,F,NA,5,M,1,NA,NA,end
8/19/21,WL,YYW,Dead,F,NA,NA,D,3,NA,NA,end
8/23/21,WL,PBBY,Removed,F,NA,4,A,3,NA,NA,end
8/24/21,CML,YYY,Molted,F,NA,3,M,3,NA,NA,end
8/26/21,WL,PBWW,Removed,F,NA,6.5,A,3,NA,NA,end
8/26/21,WL,PGG,Removed,F,NA,5,A,3,NA,NA,end
8/26/21,WL,YBBK,Dead,F,NA,NA,D,3,NA,NA,end
8/27/21,CML,YYYK,Molted,F,NA,4.5,M,1,NA,NA,end
8/30/21,WL,YYGR,Dead,F,NA,NA,D,3,NA,NA,end
8/31/21,CML,YBWW,Dead,F,NA,NA,D,NA,NA,NA,end
9/2/21,WL,PB,Removed,F,NA,6,A,3,NA,NA,end
9/2/21,WL,PBBK,Removed,F,NA,9,A,3,NA,NA,end
9/2/21,WL,PBGG,Removed,F,NA,8.5,A,3,NA,NA,end
9/2/21,WL,PBGY,Removed,F,NA,8,A,3,NA,NA,end
9/2/21,WL,PBRB,Removed,F,NA,5,A,3,NA,NA,end
9/2/21,WL,PBRG2,Dead,F,NA,NA,D,3,NA,NA,end
9/2/21,WL,PBWB,Removed,F,NA,6.5,A,3,NA,NA,end
9/2/21,WL,PBYK,Removed,F,NA,7,A,3,NA,NA,end
9/2/21,WL,YBBB,Removed,F,NA,5,A,3,NA,NA,end
9/2/21,WL,YBBG,Removed,F,NA,4,A,3,NA,NA,end
9/2/21,WL,YBKY,Removed,F,NA,4,A,3,NA,NA,end
9/2/21,WL,YBW,Removed,F,NA,4,A,3,NA,NA,end
9/2/21,WL,YBWG,Removed,F,NA,8,A,3,NA,NA,end
9/2/21,WL,YBWY,Removed,F,NA,5.5,A,3,NA,NA,end
9/2/21,WL,YBYK,Removed,F,NA,6,A,3,NA,NA,end
9/2/21,WL,YBYW,Dead,F,NA,NA,D,3,NA,NA,end
9/3/21,CML,YYR,Molted,F,NA,4,M,1,NA,NA,end
9/7/21,CML,YB,Removed,F,NA,4,A,3,NA,NA,end
9/7/21,CML,YBBY,Removed,F,NA,8,A,3,NA,NA,end
9/7/21,CML,YBGY,Removed,F,NA,4,A,3,NA,NA,end
9/7/21,CML,YBKW,Removed,F,NA,4,A,3,NA,NA,end
9/7/21,CML,YBR,Removed,F,NA,5,A,3,NA,NA,end
9/7/21,CML,YBRB,Removed,F,NA,4.5,A,3,NA,NA,end
9/7/21,CML,YBRW,Dead,F,NA,NA,D,NA,NA,NA,end
9/7/21,CML,YY,Removed,F,NA,5,A,3,NA,NA,end
9/7/21,CML,YYGW,Removed,F,NA,7.5,A,3,NA,NA,end
9/7/21,CML,YYYG,Removed,F,NA,7,A,3,NA,NA,end
9/7/21,CML,YYYW,Removed,F,NA,8.5,A,3,NA,NA,end
5/19/22,WL,GBGB,Molted,M,4,8.5,A,3,NA,NA,start
5/19/22,WL,GBGG,Molted,M,3,12,A,3,NA,NA,start
5/19/22,WL,GBGR,Removed,M,1,6,A,3,NA,NA,start
5/19/22,WL,GBGW,Dead,M,1,3.5,A,3,NA,NA,start
5/19/22,WL,GBGY,Molted,M,3,9.5,A,3,NA,NA,start
5/19/22,WL,GBKR,Molted,M,3,10,A,3,NA,NA,start
5/19/22,WL,GBRY,Dead,M,3,11,A,3,NA,NA,start
5/19/22,WL,GBWB,Removed,M,3,11,A,3,NA,NA,start
5/19/22,WL,GBWK,Molted,M,3,8,A,3,NA,NA,start
5/19/22,WL,GBWW,Dead,M,4,13.5,A,3,NA,NA,start
5/19/22,WL,GBWY,Removed,M,3,7,A,3,NA,NA,start
5/19/22,WL,GBY,Removed,M,2,9.5,A,3,NA,NA,start
